,S&P 500 (Live),FTSE 100 (Live),Nikkei 225 (Live),DAX (Live),Russel 2000 (Live),All Ordinaries (Live),CAC 40 (Live),Hang Seng (Live),KOSPI Composite Index (Live),AEX Index (Live),Swiss Market Index (Live),IBEX 35 (Live),S&P CNX Nifty (Live),IPC Mexico (Live),Bovespa Index (Live),S&P/TSX Composite Index (Live),Euro STOXX 50 (Live),FT Straits Times Index,FTSE MIB (Live)
,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel
DateID,SPX2.rk,FTSE2.rk,N2252.rk,GDAXI2.rk,RUT2.rk,AORD2.rk,FCHI2.rk,HSI2.rk,KS11.rk,AEX.rk,SSMI.rk,IBEX2.rk,NSEI.rk,MXX.rk,BVSP.rk,GSPTSE.rk,STOXX50E.rk,FTSTI.rk,FTSEMIB.rk
20160621,2.12E-05,4.52E-05,8.93E-05,8.35E-05,4.08E-05,3.14E-05,7.91E-05,3.19E-05,9.22E-06,7.24E-05,4.85E-05,0.000106196,2.09E-05,2.95E-05,9.00E-05,2.18E-05,8.08E-05,,0.000100945
20160622,2.25E-05,4.61E-05,7.91E-05,6.09E-05,3.65E-05,2.77E-05,6.26E-05,3.95E-05,2.87E-05,6.31E-05,4.48E-05,0.0001029,2.74E-05,2.36E-05,0.000159787,1.48E-05,6.91E-05,,8.59E-05
20160623,2.37E-05,0.000101426,3.60E-05,0.000221107,3.68E-05,2.01E-05,0.000192713,2.55E-05,1.15E-05,0.000181094,0.000115722,0.000276496,1.93E-05,3.39E-05,9.92E-05,1.29E-05,0.000232875,,0.000239231
20160624,0.000345767,0.000322288,0.002207819,0.0008729,9.80E-05,0.000621773,0.001233253,0.000703505,0.000753214,0.001244177,0.000568819,0.004766103,0.000174342,0.001026203,0.000155969,0.0001157,0.005537118,,0.000487925
20160627,0.00012133,0.000128053,0.000205825,0.000274015,0.000110866,0.000147528,0.000289713,5.14E-05,0.000111935,0.000205831,0.000166852,0.001524022,3.33E-05,9.97E-05,0.000119343,5.05E-05,0.000366225,,0.000320798
20160628,6.03E-05,6.72E-05,0.000278239,0.000137166,8.44E-05,0.000120025,0.000109197,4.12E-05,5.13E-05,0.000105392,0.000103555,0.000277921,1.94E-05,0.000171607,7.16E-05,4.13E-05,0.000199866,,0.000280783
20160629,3.98E-05,6.50E-05,0.000108807,0.000124628,5.64E-05,5.66E-05,0.000116316,3.98E-05,2.58E-05,9.47E-05,9.26E-05,0.000190117,1.28E-05,8.89E-05,5.11E-05,1.86E-05,0.000201957,,0.000195031
20160630,3.64E-05,0.000108288,5.92E-05,0.000158413,4.85E-05,9.03E-05,0.00017823,5.66E-05,2.93E-05,0.000125472,8.50E-05,0.000274014,2.64E-05,5.58E-05,7.48E-05,3.44E-05,0.000221297,,0.000310636
20160701,1.73E-05,6.99E-05,6.83E-05,0.000102494,4.00E-05,2.80E-05,0.000114222,,2.11E-05,8.72E-05,5.98E-05,0.000193832,1.93E-05,3.69E-05,4.56E-05,,0.000131464,,0.00017457
20160704,,3.04E-05,6.64E-05,4.88E-05,,2.77E-05,6.06E-05,5.62E-05,1.16E-05,4.76E-05,3.50E-05,0.000105776,1.45E-05,2.62E-05,3.17E-05,8.69E-06,5.82E-05,,9.56E-05
