,S&P 500 (Live),FTSE 100 (Live),Nikkei 225 (Live),DAX (Live),Russel 2000 (Live),All Ordinaries (Live),CAC 40 (Live),Hang Seng (Live),KOSPI Composite Index (Live),AEX Index (Live),Swiss Market Index (Live),IBEX 35 (Live),S&P CNX Nifty (Live),IPC Mexico (Live),Bovespa Index (Live),S&P/TSX Composite Index (Live),Euro STOXX 50 (Live),FT Straits Times Index,FTSE MIB (Live)
,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel
DateID,SPX2.rk,FTSE2.rk,N2252.rk,GDAXI2.rk,RUT2.rk,AORD2.rk,FCHI2.rk,HSI2.rk,KS11.rk,AEX.rk,SSMI.rk,IBEX2.rk,NSEI.rk,MXX.rk,BVSP.rk,GSPTSE.rk,STOXX50E.rk,FTSTI.rk,FTSEMIB.rk
20000103,0.000160727,,,0.000701914,0.000263566,,0.000261872,0.000261313,,0.000123533,,0.00016832,,8.77E-05,0.000404324,,0.0002718,0.000157734,0.000520486
20000104,0.000264396,0.00024906,0.000161771,0.000591077,0.000231931,4.54E-05,0.000372106,0.000206982,0.000946016,0.000233316,0.000101634,0.000214923,,0.000214076,0.000616988,,0.000252231,0.000123306,0.000336257
20000105,0.00030465,0.000198458,0.000244955,0.001080755,0.000144923,0.000255532,0.000334113,0.001596798,0.001207347,0.0004476,0.000123158,0.000292088,,0.000173187,0.000981948,,0.000505533,0.000394172,0.00042172
20000106,0.000148582,0.000148256,0.000198084,0.000305533,5.60E-05,3.09E-05,0.000248347,0.000869962,0.001071862,0.000224445,8.68E-05,,3.04E-05,5.60E-05,0.000501245,,0.000109865,0.000586028,0.000338846
20000107,0.000123267,0.000125653,0.000156995,0.000300703,3.13E-05,4.32E-05,0.000256571,0.000507742,0.001159469,0.000106595,6.61E-05,0.000155375,3.91E-05,8.22E-05,0.000258179,,0.000148853,0.000159163,0.000159985
20000110,0.000130693,0.00011113,,0.00054788,0.000361985,0.000155896,0.000153432,0.000615005,0.000346109,8.54E-05,3.83E-05,0.000170496,7.99E-05,0.000178826,0.00027809,,0.00023002,0.000118678,0.000378
20000111,7.68E-05,9.37E-05,0.000241846,0.00024688,4.12E-05,0.000392197,0.000211994,0.000279488,0.000349232,0.000111695,5.39E-05,0.000160607,3.90E-05,0.000124361,0.000253461,,0.000134722,0.000234246,0.000335556
20000112,0.000122201,8.15E-05,0.000109523,0.000241762,7.43E-05,0.000263913,0.000177502,0.000147086,0.000281269,0.000153213,4.66E-05,0.000144502,,6.07E-05,0.000244366,,0.000171325,0.00020144,0.000287612
20000113,0.000110056,7.84E-05,3.67E-05,0.000230271,8.93E-05,3.10E-05,0.000173185,0.000336267,0.000534633,0.000132662,3.58E-05,0.00034012,6.86E-05,0.000430536,0.002933851,,0.000147998,0.000101102,0.000175097
20000114,0.000143639,0.000130728,0.000148901,0.000260597,6.52E-05,6.34E-05,0.000183253,0.000267479,0.000578398,9.72E-05,3.67E-05,0.000188656,3.43E-05,8.07E-05,0.000305281,,0.000139836,9.50E-05,0.000167735
20000117,,6.31E-05,0.000177726,0.000279374,,1.71E-05,0.000168201,0.000205568,0.000199446,0.000145023,2.75E-05,0.000134776,4.75E-05,1.19E-05,0.000161893,,0.000129748,0.000178337,0.000320734
20000118,9.86E-05,0.000133857,7.54E-05,0.000374617,2.18E-05,2.84E-05,0.000249262,0.000165591,0.000569614,0.00013496,4.37E-05,0.000189205,4.19E-05,0.000106938,0.000226147,,0.000188005,0.000114974,0.000442429
20000119,5.25E-05,0.000125104,7.11E-05,0.000248269,1.89E-05,5.67E-05,0.000199136,0.000329853,0.000358005,0.000168049,4.41E-05,0.000169376,,5.04E-05,0.000205765,,0.000155947,0.000106603,0.000172036
20000120,0.000120725,0.000122751,0.000128622,0.000392532,6.32E-05,4.99E-05,0.000138428,0.000179335,0.000726335,0.000144923,5.08E-05,0.000202183,4.26E-05,0.000139888,0.000242958,,0.000151143,0.00016938,0.000137024
20000121,5.53E-05,0.000130461,0.000107095,0.000285686,4.21E-05,5.05E-05,0.000226716,0.000124642,0.00058622,0.000126826,4.90E-05,0.000160058,1.36E-05,8.83E-05,0.000173946,,0.000193446,0.000227596,0.000250645
20000124,0.000209122,9.67E-05,5.21E-05,0.000278143,0.000110444,2.52E-05,0.000141593,0.000182025,0.00048103,9.51E-05,4.48E-05,0.00017416,2.68E-05,0.000188845,0.000159602,,0.000157728,0.000210329,0.000121816
20000125,0.00019254,0.000144542,0.000194746,0.000303564,0.000118038,9.53E-05,0.000130632,0.000189403,0.000277678,0.000229867,6.86E-05,0.000128514,1.67E-05,7.09E-05,,,0.000169114,0.000131972,0.000165484
20000126,6.81E-05,0.000111748,3.73E-05,0.00030175,3.21E-05,,0.000105112,0.000136324,0.000493127,0.000131198,6.03E-05,7.33E-05,,8.03E-05,0.000136887,,0.000141082,7.01E-05,0.000111154
20000127,0.000186332,6.61E-05,9.46E-05,0.000301379,9.03E-05,2.55E-05,0.000134511,0.000168294,0.000411052,9.66E-05,4.75E-05,0.00013103,,0.000132722,0.000262471,,0.000115014,6.29E-05,7.37E-05
20000128,0.00030057,0.000190096,7.17E-05,0.000456934,9.75E-05,3.00E-05,0.00024512,0.000288107,0.000294515,0.000280318,9.36E-05,0.000272012,1.46E-05,0.000127284,0.000350031,,0.000204029,0.000128517,0.000309628
20000131,0.000217619,0.000132509,8.68E-05,0.000292402,9.56E-05,5.59E-05,0.000163313,0.000283925,0.000337289,0.000168554,0.000121135,0.00021005,3.38E-05,0.000108895,0.00021747,,0.000184319,0.000219885,0.000175685
20000201,0.000104101,0.000239904,0.000127892,0.000351273,4.72E-05,4.40E-05,0.000103984,0.000113683,0.000596841,0.000108411,5.21E-05,0.000117139,2.24E-05,8.68E-05,0.000213405,,0.000154602,4.67E-05,0.000106934
20000202,0.000131156,0.000172527,0.000139512,0.000210249,3.82E-05,6.01E-05,0.000134741,0.000110046,0.000354316,6.61E-05,9.67E-05,0.000132554,2.52E-05,0.000112353,0.000209535,,0.0001228,0.000102014,0.000149984
20000203,0.000169714,0.000279275,7.55E-05,0.000343194,8.92E-05,5.50E-05,0.000340784,0.000177023,0.000452438,0.00021385,7.87E-05,0.000158057,,0.000283935,0.000268794,,0.000214453,0.000114055,0.000206852
20000204,8.12E-05,0.000231212,5.80E-05,0.000585782,3.02E-05,3.18E-05,0.000196156,,,0.000247907,9.24E-05,0.000138361,1.84E-05,0.000286226,0.000327802,,0.000245748,3.87E-05,0.000178378
20000207,6.75E-05,0.000200158,4.32E-05,0.000181086,3.59E-05,2.42E-05,0.000152671,,0.000382843,0.000172991,7.79E-05,0.000130857,1.16E-05,0.000249737,0.000207665,,0.00010505,,0.000201306
20000208,8.86E-05,0.000131027,5.91E-05,0.000245897,6.57E-05,3.61E-05,0.000160014,0.000296781,0.000244206,0.000161879,7.02E-05,0.000160026,1.30E-05,0.000359115,0.000194748,,0.000116834,9.72E-05,0.000193611
20000209,0.000104041,0.000278934,3.87E-05,0.000265493,4.96E-05,8.28E-05,0.000259388,0.000300438,0.000222919,0.000203542,8.57E-05,0.000183214,,0.000124288,0.000270564,,0.000173319,0.000217919,0.000427359
20000210,0.000108531,0.000191308,4.31E-05,0.000243517,4.64E-05,5.70E-05,0.000189983,0.000368178,0.000532676,0.000289669,9.15E-05,0.00017291,1.10E-05,0.000120814,0.000255356,,0.00012241,0.000149658,0.000267625
20000211,0.00011269,0.000219087,,0.000349097,4.65E-05,5.26E-05,0.000294605,0.000689656,0.000636509,0.000248717,0.000102897,0.000172559,3.46E-05,0.000172591,0.000323674,,0.000175463,0.000176408,0.000309407
20000214,9.86E-05,0.000176418,7.41E-05,0.000207233,5.22E-05,0.000113551,0.000145396,0.00082474,0.000364012,0.000218087,5.25E-05,0.000450909,1.49E-05,6.21E-05,0.000172715,,8.68E-05,0.000133579,0.000243845
20000215,0.000130362,0.00018505,7.96E-05,0.000243383,3.30E-05,6.40E-05,0.00022939,0.000413536,0.000474148,0.000104939,5.71E-05,0.000257274,2.79E-05,9.40E-05,0.00024264,,0.000112139,0.000134706,0.000508241
20000216,0.0001037,0.000223373,8.88E-05,0.000812505,5.55E-05,0.000106586,0.000270859,0.000238595,0.001069593,0.000135963,7.41E-05,0.000206334,,0.000102699,0.000176943,,0.00032321,0.000102178,0.000455677
20000217,0.000201565,0.000230046,0.000152884,0.000376974,9.66E-05,3.82E-05,0.000373945,0.000329633,0.000939737,0.000211674,0.000118383,0.000264859,1.74E-05,8.21E-05,0.000242449,,0.000268105,0.000100759,0.000315253
20000218,0.000179962,0.000115252,8.14E-05,0.00021686,5.30E-05,3.81E-05,0.000169089,0.000186164,0.000622833,0.000230984,6.53E-05,0.000129801,2.29E-05,6.76E-05,0.000158993,,0.000107069,0.000104949,0.000306696
20000221,,0.000128578,7.58E-05,0.00018998,,0.000102735,0.000131907,0.000318198,0.000387498,0.000130251,4.27E-05,8.75E-05,1.14E-05,1.29E-05,0.000195379,,0.00012613,0.000210343,8.12E-05
20000222,0.000208231,0.000250562,0.000116624,0.000287049,0.000104457,3.82E-05,0.000312097,0.000502953,0.001111399,0.00013406,7.10E-05,0.000154175,2.81E-05,8.81E-05,0.000189529,,0.000151295,0.000629137,0.000360662
20000223,0.000134655,0.000212562,7.10E-05,0.000185794,4.10E-05,3.65E-05,0.000143697,0.000154986,0.000636846,0.000125793,4.94E-05,0.000131952,,8.15E-05,0.000156353,,0.000138573,0.000593346,0.000160901
20000224,0.000310427,0.000261432,3.88E-05,0.000332473,0.000106594,4.57E-05,0.000161617,0.000304279,0.000517684,0.000144226,6.42E-05,0.000218156,5.05E-05,0.000113027,0.000306581,,0.000157599,0.000152073,0.000303416
20000225,0.000232435,0.000157762,4.94E-05,0.000342341,6.81E-05,7.40E-05,0.000134226,0.000345968,0.000389623,0.000151975,6.37E-05,0.000112019,6.80E-05,6.80E-05,9.80E-05,,0.000141071,9.54E-05,0.000171597
20000228,0.000235077,0.000321596,9.06E-05,0.000470457,0.000114583,4.18E-05,0.000330963,0.000666855,0.000290037,0.000202372,0.000116259,0.000172094,2.97E-05,7.19E-05,0.000148521,,0.000242732,0.00012587,0.000302245
20000229,0.000122817,0.000104358,0.000101139,0.000157456,0.000104836,7.43E-05,0.000150095,0.000199372,0.000719225,0.000101688,4.61E-05,7.36E-05,0.001808666,7.50E-05,0.00015361,,7.37E-05,7.20E-05,0.000123248
20000301,0.000115907,0.000178438,6.09E-05,0.000315749,6.05E-05,5.17E-05,9.53E-05,0.000413993,,0.000100662,5.76E-05,0.000107725,,9.68E-05,0.000118216,,0.000108255,0.000105375,0.000220465
20000302,0.000100256,8.51E-05,0.000103968,0.000272617,6.07E-05,6.09E-05,0.000260857,0.000177413,0.000446106,0.000139299,4.92E-05,0.000173452,4.31E-05,0.000227872,0.000131208,,0.000172006,7.18E-05,0.000348616
20000303,0.00010638,0.000146886,5.40E-05,0.000263694,0.000104558,0.000136374,0.000254799,0.00025759,0.000785198,0.000174061,5.63E-05,0.000208915,4.09E-05,0.000236921,0.000164345,,0.000180339,6.61E-05,0.000343149
20000306,6.85E-05,0.000127829,7.99E-05,0.000139576,4.72E-05,8.58E-05,7.67E-05,0.000183259,0.000211959,0.000131673,4.35E-05,9.99E-05,6.12E-05,0.000107674,,,7.56E-05,8.45E-05,0.00020828
20000307,0.000268775,0.000181884,8.11E-05,0.000406836,0.000141607,6.04E-05,0.000259039,0.00020164,0.000287333,0.000246938,8.38E-05,0.000206539,5.00E-05,0.00039304,,,0.000213097,0.000145163,0.000646497
20000308,0.000173019,0.000175473,8.14E-05,0.000337047,0.000228736,1.82E-05,0.000200889,0.000430728,0.000359996,0.000154016,7.77E-05,0.00024551,,0.000206519,0.000107263,,0.000183178,0.00017313,0.000268014
20000309,0.000113695,0.000166968,7.44E-05,0.000408619,5.78E-05,2.45E-05,0.000187104,0.000492628,0.000270136,0.00014674,7.63E-05,0.000101228,0.000240438,0.000106398,0.000122632,,0.000183968,6.66E-05,0.000143937
20000310,0.000132786,0.000161761,9.13E-05,0.000261135,6.46E-05,1.88E-05,0.000109285,0.000312933,0.000227545,0.000104321,4.14E-05,0.000121938,0.000203529,9.46E-05,0.000126194,,0.000180624,4.24E-05,8.64E-05
20000313,0.000462382,0.000165939,0.00016633,0.000422866,0.00068219,2.34E-05,0.000222327,0.000719028,0.000238197,0.000153261,8.19E-05,0.000324699,,0.000382925,0.000642602,,0.000205839,0.000148713,0.000316123
20000314,0.000168965,0.000104225,0.000270246,0.000279693,0.000302908,6.99E-05,0.000232067,0.000210474,0.000479169,0.000143837,4.07E-05,0.000172667,6.82E-05,0.000157463,0.000391446,,0.000160152,8.47E-05,0.000193628
20000315,0.000244652,0.000179267,0.000179047,0.000400433,0.000288835,1.54E-05,0.00018101,0.000294573,0.000312291,0.000172341,7.13E-05,0.000169017,,0.00016819,0.000363359,,0.000270677,7.71E-05,0.000554895
20000316,0.000271003,0.000154591,0.000159078,0.000323153,0.000407653,1.45E-05,0.000139195,0.000279842,0.000388139,0.000183389,6.92E-05,0.000184745,7.96E-05,0.000157878,0.000147035,,0.00014473,,0.000275931
20000317,,0.000412607,7.30E-05,0.000745169,,2.92E-05,0.00016426,0.000236724,0.000258688,0.000609661,0.000161742,0.00011441,,,,,0.000346772,0.000205505,0.000140158
20000320,0.000104184,9.38E-05,,0.000212202,7.78E-05,4.24E-05,9.43E-05,0.00035134,0.000326708,0.000158642,5.64E-05,9.94E-05,,6.21E-05,0.000103573,,8.55E-05,8.55E-05,0.00013375
20000321,0.000164423,8.44E-05,6.22E-05,0.000178507,0.000282051,4.04E-05,0.000105206,0.000439318,0.000475119,0.000162115,8.35E-05,0.000153327,3.46E-05,,0.000174523,,0.000106956,0.000163816,0.000168692
20000322,7.99E-05,0.000211892,4.96E-05,0.000286709,0.000125513,7.29E-05,0.000167201,0.000235371,0.000315241,0.000226545,8.07E-05,0.000156347,,0.000139973,0.000243166,,0.000257933,0.000123905,0.000210005
20000323,0.000129512,7.08E-05,6.34E-05,0.00025826,6.64E-05,3.49E-05,0.000228119,0.000225588,0.000318451,0.000138437,6.43E-05,0.000218965,,9.01E-05,0.000231405,,0.000157421,7.21E-05,0.000390338
20000324,0.000177168,0.000130324,0.000107161,0.000250532,7.65E-05,1.71E-05,0.000138343,0.000153321,0.000453453,0.000131468,4.73E-05,0.000131139,3.60E-05,8.35E-05,0.000205715,,0.000123017,3.15E-05,0.000169252
20000327,8.31E-05,9.62E-05,0.000126432,0.000172802,4.09E-05,2.56E-05,0.000107124,0.000244595,0.000364583,0.000112707,5.38E-05,0.000102022,3.02E-05,0.000129781,0.00010977,,7.95E-05,0.000112197,0.000127752
20000328,,0.000132675,0.000120824,0.000206422,,4.62E-05,0.000137846,0.000192354,0.000328802,9.19E-05,4.64E-05,8.48E-05,3.40E-05,,,,0.000124305,0.000153714,0.000117595
20000329,0.000167909,8.20E-05,0.000124006,0.000140141,0.000155109,3.64E-05,9.32E-05,0.000168573,0.000298157,6.67E-05,3.21E-05,9.75E-05,1.90E-05,0.00012852,0.000279429,,6.96E-05,0.000121523,7.80E-05
20000330,0.000289966,0.000125736,0.000112215,0.000305718,0.000400214,2.12E-05,0.000138032,0.000321536,0.000443944,0.000142584,9.37E-05,0.000102676,,0.000160829,0.000307943,,0.00019571,0.000133623,0.000176698
20000331,0.000237505,0.000109683,0.000176262,0.000249603,0.000266484,0.00011375,0.000341189,0.000308489,0.000236041,0.000160981,4.02E-05,0.000181931,1.81E-05,0.000174481,0.000208174,,0.000200354,0.000106555,0.000376637
20000403,0.000249942,0.000111788,0.000134673,0.000358196,0.000160705,1.60E-05,0.000387867,0.000259707,0.000534621,0.000225651,7.12E-05,0.000193786,2.29E-05,0.000173761,0.000319822,,0.000253267,0.00018706,0.000294164
20000404,0.001276207,0.000179931,7.76E-05,0.00024812,0.001067829,9.10E-05,0.000205577,,0.000859832,0.000137181,3.66E-05,0.000196781,3.12E-06,0.000420379,0.001407587,,0.000140459,9.03E-05,0.000430428
20000405,0.000489437,0.00021279,0.000159663,0.000627146,0.000875888,6.82E-05,0.000852628,0.000487997,,0.000540832,0.000102356,0.000465617,8.19E-05,0.000282089,0.000922965,,0.000497847,0.000100994,0.000545189
20000406,0.000191888,0.000122951,0.000122022,0.000190888,0.000403603,4.06E-05,0.000201987,0.000181462,0.000343969,0.000135328,4.94E-05,0.000161043,,0.000162453,0.000365658,,0.000152824,0.000128247,0.000173477
20000407,0.000110921,0.000141468,6.84E-05,0.000240587,0.000169051,8.47E-05,0.000373778,9.95E-05,0.000358856,0.000187768,3.74E-05,0.000101641,9.42E-06,0.000126558,0.000212336,,0.000180927,0.000118197,0.000295414
20000410,0.000109093,6.56E-05,7.14E-05,0.000268652,0.000174158,3.51E-05,0.000136019,0.000221037,0.000388801,0.000108782,3.05E-05,0.000110518,8.49E-05,6.98E-05,0.000197512,,0.000197362,6.17E-05,0.000202772
20000411,0.000244761,0.000214155,3.03E-05,0.000389896,0.000482103,8.87E-05,0.000209649,0.000165259,0.000378768,0.000118957,4.50E-05,0.000223627,2.79E-05,0.0001048,0.000614977,,0.000321294,0.000134657,0.000118685
20000412,0.000151655,0.000148509,9.14E-05,0.000205856,0.000101646,7.24E-05,0.000209056,0.000228152,0.000232,0.000131207,6.56E-05,0.000123457,5.50E-05,7.24E-05,0.000173879,,0.000162196,0.000184661,0.000194766
20000413,0.000402477,0.000201409,0.000105449,0.0003053,0.000335298,0.00015071,0.000260133,0.000262642,,0.000217915,4.81E-05,0.000183859,,0.000198203,0.00084853,,0.000239487,0.000173427,0.000256884
20000414,0.001124992,0.000231131,0.000124144,0.000556138,0.000865344,5.31E-05,0.000372126,0.000171576,0.000229791,0.000252823,5.79E-05,0.00031699,,0.000765319,0.00126979,,0.000361922,0.000304188,0.000278578
20000417,0.000696926,0.001291659,0.000692226,0.001785286,0.000976711,0.001280551,0.000433501,0.001073709,0.00111529,0.001008781,0.00010351,0.000402077,6.83E-05,0.000286815,0.001109575,,0.001191556,0.000496514,0.000490474
20000418,0.000275629,0.000220786,0.000582697,0.000392088,0.000238824,0.000491792,0.00039662,0.000117046,0.001236095,0.000250329,4.56E-05,0.000239695,3.01E-05,0.000358869,0.00048947,,0.000433168,0.000130321,0.000256798
20000419,0.000169635,0.000265072,0.000249444,0.000320926,0.000222613,0.000242168,0.000186198,0.000147996,0.000608966,0.000180011,3.72E-05,0.00011419,0.000143953,0.000269614,0.000485751,,0.000192606,0.000191746,0.000157595
20000420,9.02E-05,0.00013352,0.000284944,0.000109109,0.000119391,5.30E-05,0.000103721,0.000167449,0.000411069,4.50E-05,1.85E-05,0.000139146,,,0.000217082,,5.93E-05,7.79E-05,0.000120166
20000421,,,0.001335135,,,,,,0.000193461,,,,,,,,,,
20000424,0.000473346,,0.000489047,,0.000490338,,,,0.000243532,,,,,0.000104982,0.000262594,,,0.000161064,
20000425,0.000165557,0.000228266,0.000353642,0.000262473,0.000304798,,0.000165028,0.000206071,0.000337259,8.53E-05,2.98E-05,7.09E-05,0.000181143,0.00019981,0.00038949,,0.000154818,5.58E-05,0.00013589
20000426,0.000114268,0.000132737,0.000247199,0.000168866,0.000115196,0.000180908,0.000119641,0.000199891,0.000623181,9.58E-05,3.37E-05,0.000115069,,0.000322727,0.00016828,,0.000102738,8.57E-05,
20000427,0.000417648,0.00024321,0.000132835,0.000448708,0.000550294,4.22E-05,0.00036275,0.000210036,0.000903415,0.000245351,6.81E-05,0.000216508,8.19E-05,0.000613124,0.000659404,,0.000368536,0.000132522,0.000361481
20000428,0.000140748,0.00012623,0.000165921,0.000287505,0.000120345,3.83E-05,0.000211083,0.000115968,0.000476372,8.90E-05,4.52E-05,7.19E-05,3.67E-05,0.000192482,0.000272479,,0.000193256,4.74E-05,0.000108425
20000501,0.000115716,,0.000102754,,0.000111651,1.36E-05,,,,3.71E-05,,,,,,,,,
20000502,0.000108544,7.97E-05,7.51E-05,0.000168001,0.000104696,5.06E-06,0.000107986,0.000216437,0.000512703,6.01E-05,6.43E-05,0.000118165,7.02E-05,0.000204602,0.000198959,,0.000105189,6.65E-05,0.000121625
20000503,0.000237533,0.000112236,,0.000231376,0.000197847,3.22E-05,0.000123377,0.000148037,0.000254698,0.000172432,3.95E-05,0.000202136,,0.000129972,0.000250487,,0.000198437,5.84E-05,0.000235021
20000504,0.000138786,0.000108801,,0.000199209,0.000102003,0.000113882,0.000251504,0.000142367,0.000351535,9.41E-05,4.25E-05,0.00023215,4.00E-05,0.000114589,0.000154315,,0.000141732,0.000102891,0.000241598
20000505,0.00013624,0.000122053,,0.000154302,0.000112992,3.30E-05,0.000176999,7.00E-05,,0.000124038,3.82E-05,0.000161197,5.14E-05,,0.0002239,,0.000118658,3.31E-05,0.000246543
20000508,0.000129337,0.000186112,7.76E-05,0.000133661,0.000114501,2.17E-05,0.000174026,0.000295725,0.000224583,7.66E-05,4.94E-05,0.000119223,4.13E-05,7.92E-05,0.000115386,,9.73E-05,0.000131801,0.000123373
20000509,0.000137326,7.07E-05,8.56E-05,0.000206212,0.000168607,1.49E-05,0.000190554,0.00016303,0.000186506,7.00E-05,3.65E-05,0.000139401,5.65E-05,9.12E-05,0.000192178,,0.000126082,2.97E-05,0.000160918
20000510,0.000258343,0.000103657,0.000276435,0.000194533,0.000218811,3.97E-05,0.000227124,0.000187561,0.000114044,0.000132073,3.31E-05,0.000325174,,0.000113952,0.000204209,,0.00015604,0.00010445,0.000279817
20000511,0.000158471,0.000157855,0.000412256,0.000349643,0.000189325,0.000134728,0.000225626,,,0.00016526,4.27E-05,0.000338991,7.04E-05,0.000149775,0.000266839,,0.000193732,0.000101528,0.000219062
20000512,9.51E-05,0.000123073,0.000329016,0.000167754,7.01E-05,0.000107194,0.000131383,0.000448208,0.000297217,4.85E-05,3.19E-05,0.000164791,7.54E-05,0.000114236,0.000268327,,0.000116499,0.000117327,0.000125395
20000515,9.12E-05,6.41E-05,8.69E-05,0.000108213,0.000102771,2.28E-05,8.76E-05,0.000223877,0.000264684,5.05E-05,2.65E-05,0.000253208,9.19E-05,0.00012616,0.000203393,,7.90E-05,5.38E-05,6.13E-05
20000516,0.000175012,0.00010136,0.000101983,0.000122768,0.000147647,3.86E-05,0.000117993,0.000244862,0.000382366,3.20E-05,2.54E-05,9.94E-05,3.91E-05,0.00018312,0.000384124,,0.000111078,5.16E-05,5.30E-05
20000517,0.000171972,7.55E-05,0.000128633,0.00017397,0.000195593,3.35E-05,0.000137982,0.000352434,0.000692108,9.31E-05,3.06E-05,0.000130945,,0.000125834,0.000284052,,0.000119469,0.00010378,8.39E-05
20000518,7.58E-05,6.04E-05,0.000212701,0.000160184,5.99E-05,3.63E-05,0.000117624,0.000395166,0.000634049,7.11E-05,4.33E-05,0.000174922,6.48E-05,9.75E-05,0.000139863,,8.42E-05,,0.000221889
20000519,0.000186649,0.000119468,0.000225926,0.000259204,0.000106927,2.17E-05,0.000296421,0.000434406,0.000990303,0.000105544,3.56E-05,0.000192734,5.01E-05,0.000378735,0.000350381,,0.00018002,0.000193402,0.000456734
20000522,0.000351716,0.000193756,0.000246802,0.000418033,0.000332411,2.22E-05,0.000663706,0.000246448,0.000486901,0.000203297,4.79E-05,0.0004593,3.33E-05,0.000156235,0.000419519,,0.000411099,0.000284162,0.000944109
20000523,0.000200943,0.000150015,0.000240345,0.000264174,0.000185136,2.30E-05,0.000231257,0.000282179,0.000774216,0.000118688,4.24E-05,0.000207232,6.25E-05,0.00019085,0.000355504,,0.000257811,0.000103482,0.000246969
20000524,0.000350346,0.000182371,0.000494802,0.00036734,0.000327875,6.99E-05,0.000223068,0.000143593,0.001348336,0.000156021,3.54E-05,0.000187941,,0.000192355,0.00058548,,0.000266449,0.000447755,0.000267821
20000525,0.000219564,0.000105675,0.000170542,0.000147481,0.000199955,2.46E-05,0.00010687,0.000209661,0.000607392,7.86E-05,2.85E-05,9.90E-05,6.72E-05,0.000281735,0.000307783,,0.000154044,0.000135576,6.39E-05
20000526,0.000195842,0.000164965,0.000207508,0.000333671,0.00010877,2.03E-05,0.000271456,0.000283906,0.001061896,0.000162646,4.74E-05,0.000108505,5.54E-05,0.000136661,0.000301874,,0.000289574,0.000125479,0.000207782
20000529,,,8.61E-05,5.33E-05,,9.36E-06,7.04E-05,0.000260538,0.001067924,5.73E-05,2.18E-05,7.66E-05,6.43E-05,3.40E-05,0.000132901,,7.06E-05,5.05E-05,4.91E-05
20000530,0.000151843,8.36E-05,0.000144371,9.79E-05,0.000169118,1.27E-05,0.000127878,0.000366088,0.000714684,7.12E-05,3.12E-05,8.31E-05,5.27E-05,0.000183674,0.000212457,,6.02E-05,0.000175895,9.29E-05
20000531,0.000162446,0.000126012,0.000288114,0.000197539,0.000155449,0.000139038,0.000115317,0.000310522,0.000791862,0.000163338,2.54E-05,0.000117028,,0.00020318,0.000233664,,0.000134456,0.000295823,0.000171943
20000601,0.000101429,8.38E-05,0.000121967,0.000116967,0.000107583,2.65E-05,0.000147779,0.000248442,0.00085519,,,0.000142003,4.22E-05,0.000157476,0.000127974,,4.57E-05,0.000128778,0.000102118
20000602,0.000171627,0.0001643,0.000178902,0.000223288,0.000454321,0.000114105,0.00039448,0.000164438,0.000639838,0.000138278,3.77E-05,0.000231852,4.29E-05,0.00078588,0.000370539,,0.000234356,0.000164264,0.000176422
20000605,0.000101239,6.89E-05,0.000238245,0.000146777,0.000117086,4.93E-05,0.000159567,0.000156885,0.000248814,7.74E-05,3.31E-05,7.32E-05,0.000153476,6.63E-05,0.000118949,,9.01E-05,0.000193669,0.000158271
20000606,7.15E-05,0.000151952,5.63E-05,0.000124135,8.56E-05,2.40E-05,0.000127029,,,6.81E-05,4.91E-05,0.000138243,2.64E-05,0.000179898,0.000152973,,9.26E-05,0.000236199,0.000111167
20000607,7.54E-05,8.40E-05,0.000104709,0.000165686,8.98E-05,4.45E-05,0.000155299,0.000239169,0.000924391,5.77E-05,2.52E-05,0.000219289,,0.000268516,0.000235337,,0.000121321,0.000214838,0.000151488
20000608,6.88E-05,0.00023814,9.24E-05,0.00027357,8.11E-05,2.77E-05,0.000229636,0.000131385,0.001377042,8.01E-05,5.58E-05,0.00015857,4.50E-05,0.00010914,0.000313889,,0.000180931,0.000129615,0.000179477
20000609,6.86E-05,8.19E-05,0.000137118,0.000127637,0.000109368,3.59E-05,6.09E-05,0.000138075,0.001654508,3.61E-05,2.16E-05,0.000100377,4.27E-05,0.000108791,0.000105693,,5.34E-05,0.000109521,7.60E-05
20000612,5.04E-05,4.97E-05,6.51E-05,7.53E-05,6.26E-05,,,0.000127899,0.000901722,,,0.000109979,,6.20E-05,5.42E-05,,1.40E-05,7.57E-05,3.17E-05
20000613,9.07E-05,8.32E-05,9.86E-05,0.000119087,0.000143655,3.31E-05,0.00011371,0.000166131,0.000642066,4.49E-05,2.10E-05,,,0.00011111,0.000105329,,8.96E-05,0.00017233,0.00010595
20000614,9.13E-05,9.87E-05,0.00013377,0.000107001,6.33E-05,1.64E-05,0.000132528,0.000165513,0.000951961,5.07E-05,2.26E-05,0.000113149,,0.00013551,0.000163288,,8.83E-05,0.000183541,6.83E-05
20000615,8.10E-05,5.73E-05,0.000171739,6.19E-05,8.13E-05,4.69E-05,0.000101831,0.000189486,0.000856689,4.83E-05,2.95E-05,5.36E-05,4.19E-05,0.000126002,7.89E-05,,5.02E-05,0.000101203,4.87E-05
